"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Context Aware Matrix Factorization for Event Recommendation in Event-Based Social Networks","Y. Gu; J. Song; W. Liu; L. Zou; Y. Yao","Dept. of Comput. Sci. & Technol., Tsinghua Univ., Beijing, China; Dept. of Comput. Sci. & Technol., Tsinghua Univ., Beijing, China; Dept. of Comput. Sci. & Technol., Tsinghua Univ., Beijing, China; Dept. of Comput. Sci. & Technol., Tsinghua Univ., Beijing, China; Dept. of Comput. Sci. & Technol., Tsinghua Univ., Beijing, China","2016 IEEE/WIC/ACM International Conference on Web Intelligence (WI)","16 Jan 2017","2016","","","248","255","Event-based Social Networks(EBSNs) which combine online interactions and offline events among users have experienced increased popularity and rapid growth recently. In EBSNs, event recommendation is significant for users due to the extremely large amount of events. However, the event recommendation problem is rather challenging because it faces a serious cold-start problem: Events have short life time and new events are registered by only a few users. What's more, there are only implicit feedback information. Existing approaches like collaborative filtering methods are not suitable for this scenario. In this paper, we propose a Context Aware Matrix Factorization model called AlphaMF to tackle with the problem. Specifically, AlphaMF is a unified model that combines the Matrix Factorization model which models implicit feedbacks with the Linear contextual features model which models explicit contextual features. Extensive experiments on a large real-world EBSN dataset demonstrate that the AlphaMF model significantly outperforms state-of-the-art methods by 11%.","","978-1-5090-4470-2","10.1109/WI.2016.0043","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7817060","event recommendation;context aware;matrix factorization;Recommender Systems;Event-based Social Networks","Social network services;Context modeling;Collaboration;Urban areas;Recommender systems;Context-aware services;Mathematical model","collaborative filtering;matrix decomposition;recommender systems;social networking (online);ubiquitous computing","linear contextual features model;AlphaMF;collaborative filtering methods;event recommendation problem;EBSN;event-based social networks;context aware matrix factorization","","10","","23","","16 Jan 2017","","","IEEE","IEEE Conferences"
"Emotion aware Smart Music Recommender System using Two Level CNN","K. S. Krupa; G. Ambara; K. Rai; S. Choudhury","Global Academy of Technology,Department of Information Science & Engineering,Bengaluru,India; Global Academy of Technology,Department of Information Science & Engineering,Bengaluru,India; Global Academy of Technology,Department of Information Science & Engineering,Bengaluru,India; Global Academy of Technology,Department of Information Science & Engineering,Bengaluru,India","2020 Third International Conference on Smart Systems and Inventive Technology (ICSSIT)","6 Oct 2020","2020","","","1322","1327","Music plays a significant role in improving and elevating one's mood as it is one of the important source of entertainment and inspiration to move forward. Recent studies have shown that humans respond as well as react to music in a very positive manner and that music has a high impact on human's brain activity. Nowadays, people often prefer to listen to music based on their moods and interests. This work focuses on a system that suggests songs to the users, based on their state of mind. In this system, computer vision components are used to determine the user's emotion through facial expressions and chatbot interactions. Once the emotion is recognized, the system suggests a song for that emotion, saving a lot of time for a user over selecting and playing songs manually.","","978-1-7281-5821-1","10.1109/ICSSIT48917.2020.9214164","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9214164","Emotion recognition;Emotion Recognition in Conversation (ERC);CNN;facial expression;semantic analysis","Feature extraction;Emotion recognition;Training;Machine learning;Semantics;Music;Faces","computer vision;convolutional neural nets;emotion recognition;music;recommender systems","emotion aware smart music recommender system;entertainment;moods;two-level CNN;human brain activity;user emotion;facial expressions;chatbot interactions;computer vision components","","","","12","","6 Oct 2020","","","IEEE","IEEE Conferences"
"Mood-Aware Music Recommendation via Adaptive Song Embedding","C. Dhahri; K. Matsumoto; K. Hoashi","KDDI Research, Inc 2-1-15 Ohara, Fujimino-shi, Saitama, 356-8502, Japan; KDDI Research, Inc 2-1-15 Ohara, Fujimino-shi, Saitama, 356-8502, Japan; KDDI Research, Inc 2-1-15 Ohara, Fujimino-shi, Saitama, 356-8502, Japan","2018 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM)","25 Oct 2018","2018","","","135","138","In this paper, we propose an autonomous and adaptive recommendation system that relies on the user's mood and implicit feedback to recommend songs without any prior knowledge about the user preferences. Our method builds autonomously a latent factor model from the available online data of many users (generic song map per mood) based on the associations extracted between user, song, user mood and song emotion. It uses a combination of the Reinforcement Learning (RL) framework and Page-Hinkley (PH) test to personalize the general song map for each mood according to user implicit reward. We conduct a series of tests using LiveJournal two-million (LJ2M) dataset to show the effect of mood in music recommendation and how the proposed solution can improve the performance of music recommendation over time compared to other conventional solutions in terms of hit rate and Fl score.","2473-991X","978-1-5386-6051-5","10.1109/ASONAM.2018.8508569","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8508569","","Mood;Recommender systems;Feature extraction;Mathematical model;Social network services;Music","feedback;human factors;learning (artificial intelligence);music;recommender systems","user mood;song emotion;Page-Hinkley test;general song map;user implicit reward;mood-aware music recommendation;adaptive song embedding;autonomous recommendation system;adaptive recommendation system;implicit feedback;user preferences;latent factor model;generic song map;reinforcement learning framework;LJ2M dataset;LiveJournal two-million dataset;PH test","","3","","10","","25 Oct 2018","","","IEEE","IEEE Conferences"
"CAME: Content- and Context-Aware Music Embedding for Recommendation","D. Wang; X. Zhang; D. Yu; G. Xu; S. Deng","School of Computer Science and Technology, Hangzhou Dianzi University, Hangzhou, China; School of Computer Science and Technology, Hangzhou Dianzi University, Hangzhou, China; School of Computer Science and Technology, Hangzhou Dianzi University, Hangzhou, China; Advanced Analytics Institute, University of Technology Sydney, Ultimo, NSW, Australia; School of Computer Science and Technology, Zhejiang University, Hangzhou, China","IEEE Transactions on Neural Networks and Learning Systems","1 Mar 2021","2021","32","3","1375","1388","Traditional recommendation methods suffer from limited performance, which can be addressed by incorporating abundant auxiliary/side information. This article focuses on a personalized music recommender system that incorporates rich content and context data in a unified and adaptive way to address the abovementioned problems. The content information includes music textual content, such as metadata, tags, and lyrics, and the context data incorporate users' behaviors, including music listening records, music playing sequences, and sessions. Specifically, a heterogeneous information network (HIN) is first presented to incorporate different kinds of content and context data. Then, a novel method called content- and context-aware music embedding (CAME) is proposed to obtain the low-dimension dense real-valued feature representations (embeddings) of music pieces from HIN. Especially, one music piece generally highlights different aspects when interacting with various neighbors, and it should have different representations separately. CAME seamlessly combines deep learning techniques, including convolutional neural networks and attention mechanisms, with the embedding model to capture the intrinsic features of music pieces as well as their dynamic relevance and interactions adaptively. Finally, we further infer users' general musical preferences as well as their contextual preferences for music and propose a content- and context-aware music recommendation method. Comprehensive experiments as well as quantitative and qualitative evaluations have been performed on real-world music data sets, and the results show that the proposed recommendation approach outperforms state-of-the-art baselines and is able to handle sparse data effectively.","2162-2388","","10.1109/TNNLS.2020.2984665","Zhejiang Provincial Natural Science Foundation of China; Fundamental Research Funds for the Provincial University of Zhejiang; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9067038","Attention;content;context-aware;embedding;recommender systems","Music;Recommender systems;Adaptation models;Context modeling;Metadata;Machine learning","information filtering;learning (artificial intelligence);music;neural nets;recommender systems","music piece;context-aware music recommendation method;content-aware music recommendation method;feature representations;heterogeneous information network;music playing sequences;context data incorporate users;music textual content;content information;personalized music recommender system;context-aware music embedding;real-world music data sets","","","","61","IEEE","14 Apr 2020","","","IEEE","IEEE Journals"
"MPlist: Context aware music playlist","M. B. Magara; S. Ojo; S. Ngwira; T. Zuva","Department of Computer Systems Engineering, Tshwane University of Technology, Pretoria, South Africa; Department of Computer Science, Tshwane University of Technology, Pretoria, South Africa; Department of Computer Systems Engineering, Tshwane University of Technology, Pretoria, South Africa; Department of ICT, Vaal University of Technology, Vanderbijlpark, South Africa","2016 IEEE International Conference on Emerging Technologies and Innovative Business Practices for the Transformation of Societies (EmergiTech)","10 Nov 2016","2016","","","309","316","The choice of music in everyday life is greatly influenced by contextual circumstances surrounding music listeners. Music lovers create music playlists for various contexts and activities they are engaged in, and this is done manually by updating and loading new playlist each time a user changes activity or context. This does not make music listening enjoyable as much time and effort is spent on searching for songs that befit the current context and activity. This paper proposes a personalized context-aware music recommendation system, called MPlist, that dynamically and automatically creates a music playlist for music lovers based on their context (i.e., current location and activity), listening preference, nearby users listening profiles, other users listening preferences and music from labels and tags mined from music experts and the web. MPlist collects data from multiple sensors in a user's smart mobile device and uses them to infer the user's context and activity, thereby generating a playlist based on contextual preference. This approach has the advantage of solving the well-known cold start problem yet giving music lovers a personalized anywhere anytime music listening experience. MPlist classifier is built using both kNN and rule-based learning algorithms using sensor datasets and context-aware listening profile dataset. The context-analytic engine infers basic user activities and sends all the inferred content to the content provider so that the server can learn the music preferences given a particular context. The system exhibit performance as follows: accuracy is 0.944, F-measure is 0.945, and RMSE is 0.0978. This tends to suggest that context-aware music recommendation systems is probably what music lover expect from music stores.","","978-1-5090-0706-6","10.1109/EmergiTech.2016.7737358","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7737358","Context recognition;sensors;smart devices;music;machine learning;data mining;mobile social networks","Music;Context;Recommender systems;Intelligent sensors;Smart devices;Mobile communication","data mining;knowledge based systems;learning (artificial intelligence);music;pattern classification;recommender systems;ubiquitous computing","context aware music playlist;personalized context-aware music recommendation system;data collection;user smart mobile device;contextual preference;cold start problem;music listening experience;MPlist classifier;kNN;rule-based learning algorithms;sensor datasets;context-aware listening profile dataset;context-analytic engine","","1","","16","","10 Nov 2016","","","IEEE","IEEE Conferences"
"A large in-situ dataset for context-aware music recommendation on smartphones","Yuan-Ching Teng; Ying-Shu Kuo; Yi-Hsuan Yang","Research Center for IT Innovation, Academia Sinica, Taiwan; Research Center for IT Innovation, Academia Sinica, Taiwan; Research Center for IT Innovation, Academia Sinica, Taiwan","2013 IEEE International Conference on Multimedia and Expo Workshops (ICMEW)","3 Oct 2013","2013","","","1","4","Context-based services have received an increasing attention due to the prevalence of sensor-rich mobile devices such as smartphones. The idea is to recommend information that would be of interest to a user according to the user's surround context. Although remarkable progress has been made, relatively little research has been made to contextualize music playback based on a large-scale dataset of real-life listening records. This paper presents our recent endeavor in collecting 5,502 real-life listening records with context annotation using Android smartphones in-situ. The user-provided context annotation contains labels selected from 10 user activity categories and 10 user mood categories. Moreover, we also compute a rich set of sensor features to capture the context at which the users listen to music, encompassing location, time, acceleration, proximity, etc. Our evaluation shows that with such context information we are able to significantly improve the performance of music recommendation, using factorization machine as the recommendation engine.","","978-1-4799-1604-7","10.1109/ICMEW.2013.6618254","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6618254","","Context;Mood;Music;Recommender systems;Smart phones;Robot sensing systems","mobile computing;music;recommender systems;smart phones","context-aware music recommendation;context-based services;sensor-rich mobile devices;music playback;Android smartphones;user-provided context annotation;user activity category;user mood category;factorization machine","","3","","13","","3 Oct 2013","","","IEEE","IEEE Conferences"
"A Novel Cloud-Based Crowd Sensing Approach to Context-Aware Music Mood-Mapping for Drivers","A. S. Krishnan; X. Hu; J. Deng; R. Wang; M. Liang; C. Zhu; V. C. M. Leung; Y. Kwok","Dept. of Comput. Sci. & Eng., Nat. Inst. of Technol., Tiruchirappalli, India; Dept. Electr. & Comput. Eng., Univ. of British Columbia, Vancouver, BC, Canada; Electr. & Electron. Eng. Dept., Univ. of Hong Kong, Hong Kong, China; IBM, Ottawa, ON, Canada; IBM, Guangzhou, China; Dept. Electr. & Comput. Eng., Univ. of British Columbia, Vancouver, BC, Canada; Dept. Electr. & Comput. Eng., Univ. of British Columbia, Vancouver, BC, Canada; Dept. Electr. & Comput. Eng., Univ. of British Columbia, Vancouver, BC, Canada","2015 IEEE 7th International Conference on Cloud Computing Technology and Science (CloudCom)","4 Feb 2016","2015","","","475","478","Millions of people are severely injured or killed in road accidents every year and most of these accidents are caused by human error. Fatigue and negative emotions such as anger adversely affect driver performance, thereby increasing the risk involved in driving. Research has shown that listening to the right kind of music in these situations can ameliorate driver performance and improve road safety. Context-aware music delivery systems succeed in delivering suitable music according to the situation through the process of music mood-mapping which identifies the mood of a song. Additionally, we can leverage the power of the cloud to enable crowd sensing of the mood-mapping of various songs and enhance the effectiveness of situation-aware music delivery for drivers. The cloud can be used to aggregate the crowd sensed music mood-mapping data and improve the effectiveness of music delivery by providing accurate mood-mappings from the aggregated data. Currently, context-aware music delivery systems consider only features from the song for music mood-mapping. In this paper, we propose a novel approach to music mood-mapping for drivers which also incorporates the social context of a driver including age, gender and cultural background to enhance the effectiveness of music delivery in context-aware music recommendation systems for drivers.","","978-1-4673-9560-1","10.1109/CloudCom.2015.85","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7396197","music mood-mapping;context-aware;cloud;crowd sensing;safe driving","Mood;Context;Vehicles;Sensors;Feature extraction;Labeling;Music","cloud computing;music;recommender systems;road accidents;road safety;traffic engineering computing;ubiquitous computing","context-aware music recommendation systems;situation-aware music delivery;context-aware music delivery systems;road safety;driver performance;road accidents;context-aware music mood-mapping;cloud-based crowd sensing approach","","1","","10","","4 Feb 2016","","","IEEE","IEEE Conferences"
"When and What Music Will You Listen To? Fine-Grained Time-Aware Music Recommendation","M. Li; W. Jiang; K. Li","Coll. of Comput. Sci. & Electron. Eng., Hunan Univ., Changsha, China; Coll. of Comput. Sci. & Electron. Eng., Hunan Univ., Changsha, China; Coll. of Comput. Sci. & Electron. Eng., Hunan Univ., Changsha, China","2017 IEEE International Symposium on Parallel and Distributed Processing with Applications and 2017 IEEE International Conference on Ubiquitous Computing and Communications (ISPA/IUCC)","28 May 2018","2017","","","1091","1098","Music recommendation which helps displaying proper songs to proper users, has attracted growing attention in recent years. Current music recommendation systems are facing two key challenges: (1) users' listening habits with respect to time haven't been well studied; (2) there are far less ratings than listening records in music providing systems. In this paper, we strive to address the above two challenges. We investigate when and what music will a user listen to, and we propose a Fine-grained Time-aware Music Recommendation (FTAMR) model. To be specific, we improve recommendation qualities from two sides: the user and the song. From the user's side, we study users' listening time-behavior in a fine-grained way and explore their short-term listening habits (e.g. in a day) and long-term listening habits (e.g. in several months); From the song's side, considering the sparsity of ratings and the characteristics (e.g., popularity) of each song, we define the asymmetric co-recommendation probability from a song to another, and cluster songs according to co-recommendation probabilities instead of similarities. Given users' listening records with time stamps, we make recommendation based on their listening habits and songs' co-recommendation probabilities. To validate the effectiveness of the proposed FTAMR model, we study the Last.fm data set and conduct extensive experiments. The results show that our approach can provide better recommendations.","","978-1-5386-3790-6","10.1109/ISPA/IUCC.2017.00165","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8367395","music recommendation;fine grained;time aware;listening habits.","Music;Recommender systems;Damping;Computer science;Collaboration;Standards;Probability","behavioural sciences;music;probability;recommender systems","short-term listening habits;asymmetric co-recommendation probability;cluster songs;time stamps;music recommendation systems;FTAMR;long-term listening habits;fine-grained time-aware music recommendation model;listening time-behavior study","","1","","25","","28 May 2018","","","IEEE","IEEE Conferences"
"Contextual-Aware Hybrid Recommender System for Mixed Cold-Start Problems in Privacy Protection","V. N. Zhao; M. Moh; T. Moh","Dept. of Comput. Sci., San Jose State Univ., San Jose, CA, USA; Dept. of Comput. Sci., San Jose State Univ., San Jose, CA, USA; Dept. of Comput. Sci., San Jose State Univ., San Jose, CA, USA","2016 IEEE 2nd International Conference on Big Data Security on Cloud (BigDataSecurity), IEEE International Conference on High Performance and Smart Computing (HPSC), and IEEE International Conference on Intelligent Data and Security (IDS)","4 Jul 2016","2016","","","400","405","With the rapid growth of web services, more and more users elect to hide their information settings. While this practice protects users' privacy, it also creates highly sparse dataset, which in turn causes cold start problems in Recommender Systems (RS) and leads to poor prediction results. Contextual-aware recommender system (CARS) has been recognized as an efficient solution to address either a new user or a new item cold start scenario. It outperforms traditional collaborative filtering recommender systems. Most existing CARS solutions however have not provided efficient solutions for mixed cold start scenarios, in which two or more cold start problems co-exist. In this work, we introduce a Weighted Switching Hybrid Context-Aware (W-SHCA) Recommender System. It is based on two algorithms: Content-based CAMF-CC (Context-Aware Matrix Factorization) and Demographics-based CAMF-CC, and utilizes their weighted sum to perform the prediction when a mixed cold start problem is detected. We exploit the W-SHCA model in three recommendation applications: places of interest (STS), music (Music), and movie (CoMoDa). We illustrate some significant performance differences among these three datasets under various mixed cold start situations, and deduced a stable weight selection pattern for W-SHCA associating with dataset characteristics. We believe that this work is a pioneer in dealing with mixed cold-start problems, and would provide a vital reference point for their future research.","","978-1-5090-2403-2","10.1109/BigDataSecurity-HPSC-IDS.2016.54","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7502323","content-based recommender systems;context-aware recommender systems (CARS);cold-start problems;demographic-based recommender systems;matrix factorization algorithms;and weighted scheme","Prediction algorithms;Recommender systems;Automobiles;Switches;Context modeling;Predictive models;Context","data privacy;matrix decomposition;recommender systems;Web services","mixed cold-start problems;privacy protection;Web services;CARS;weighted switching hybrid context-aware recommender system;content-based CAMF-CC;demographics-based CAMF-CC;context-aware matrix factorization;W-SHCA model;stable weight selection pattern","","4","","23","","4 Jul 2016","","","IEEE","IEEE Conferences"
"Towards a Context-Aware Music Recommendation Approach: What is Hidden in the Playlist Name?","M. Pichl; E. Zangerle; G. Specht","Inst. of Comput. Sci., Univ. of Innsbruck, Innsbruck, Austria; NA; Inst. of Comput. Sci., Univ. of Innsbruck, Innsbruck, Austria","2015 IEEE International Conference on Data Mining Workshop (ICDMW)","4 Feb 2016","2015","","","1360","1365","New distribution channels like music streaming platforms paved way for making more and more diverse music available to users. Thus, music recommender systems got in the focus of research in academia as well as industry. Collaborative filtering-based recommender systems have been proven useful, but there is space left for improvements by adapting this general approach to better fit to the music recommendations problem. In this work, we incorporate context-based information about the music consumption into the recommendation process. This information is extracted from playlist names, which are analyzed and aggregated into so-called ""contextual clusters"". We find that the listening context plays an important role and thus allows for providing recommendations reaching precision values 33% higher than traditional approaches. Hence, the main contribution of this paper is a new method that extracts and integrates contextual information from playlist names into the recommendation process for improving music recommendations.","2375-9259","978-1-4673-8493-3","10.1109/ICDMW.2015.145","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7395827","","Recommender systems;Context;Data mining;Collaboration;Music;Aggregates;Conferences","collaborative filtering;music;recommender systems","context-aware music recommendation approach;distribution channels;music streaming platforms;music recommender systems;collaborative filtering-based recommender systems;context-based information;music consumption;playlist names;contextual clusters;listening context","","14","","21","","4 Feb 2016","","","IEEE","IEEE Conferences"
